ID,label
0,9.0
1,4.0
2,1.0
3,7.0
4,1.0
5,7.0
6,1.0
7,0.0
8,2.0
9,0.0
10,8.0
11,4.0
12,3.0
13,1.0
14,2.0
15,1.0
16,4.0
17,9.0
18,3.0
19,9.0
20,5.0
21,9.0
22,6.0
23,2.0
24,5.0
25,4.0
26,5.0
27,3.0
28,1.0
29,8.0
30,7.0
31,5.0
32,9.0
33,4.0
34,5.0
35,6.0
36,6.0
37,0.0
38,8.0
39,2.0
40,5.0
41,6.0
42,4.0
43,9.0
44,6.0
45,9.0
46,1.0
47,5.0
48,8.0
49,4.0
50,5.0
51,0.0
52,7.0
53,6.0
54,8.0
55,2.0
56,6.0
57,9.0
58,7.0
59,1.0
60,9.0
61,6.0
62,5.0
63,3.0
64,8.0
65,2.0
66,2.0
67,1.0
68,6.0
69,9.0
70,0.0
71,3.0
72,7.0
73,7.0
74,9.0
75,8.0
76,2.0
77,5.0
78,0.0
79,1.0
80,2.0
81,8.0
82,7.0
83,5.0
84,6.0
85,8.0
86,6.0
87,5.0
88,7.0
89,0.0
90,1.0
91,4.0
92,0.0
93,9.0
94,5.0
95,5.0
96,9.0
97,4.0
98,3.0
99,6.0
100,7.0
101,7.0
102,8.0
103,4.0
104,1.0
105,0.0
106,5.0
107,6.0
108,5.0
109,5.0
110,5.0
111,8.0
112,4.0
113,7.0
114,1.0
115,8.0
116,5.0
117,7.0
118,5.0
119,2.0
120,4.0
121,6.0
122,6.0
123,7.0
124,5.0
125,2.0
126,9.0
127,2.0
128,2.0
129,2.0
130,8.0
131,2.0
132,4.0
133,3.0
134,5.0
135,7.0
136,9.0
137,7.0
138,8.0
139,6.0
140,1.0
141,1.0
142,8.0
143,8.0
144,2.0
145,4.0
146,7.0
147,1.0
148,4.0
149,0.0
150,1.0
151,0.0
152,1.0
153,6.0
154,2.0
155,5.0
156,6.0
157,6.0
158,3.0
159,0.0
160,8.0
161,1.0
162,1.0
163,7.0
164,7.0
165,8.0
166,1.0
167,3.0
168,2.0
169,0.0
170,1.0
171,6.0
172,0.0
173,5.0
174,1.0
175,7.0
176,6.0
177,5.0
178,0.0
179,3.0
180,1.0
181,6.0
182,4.0
183,6.0
184,1.0
185,0.0
186,3.0
187,8.0
188,5.0
189,3.0
190,8.0
191,9.0
192,9.0
193,8.0
194,1.0
195,3.0
196,2.0
197,1.0
198,4.0
199,8.0
200,0.0
201,6.0
202,4.0
203,8.0
204,0.0
205,4.0
206,2.0
207,0.0
208,5.0
209,7.0
210,3.0
211,6.0
212,4.0
213,8.0
214,3.0
215,8.0
216,3.0
217,2.0
218,0.0
219,5.0
220,2.0
221,9.0
222,3.0
223,9.0
224,4.0
225,4.0
226,6.0
227,2.0
228,5.0
229,8.0
230,1.0
231,5.0
232,0.0
233,1.0
234,1.0
235,8.0
236,5.0
237,2.0
238,8.0
239,0.0
240,2.0
241,4.0
242,3.0
243,1.0
244,5.0
245,6.0
246,7.0
247,0.0
248,4.0
249,2.0
250,6.0
251,2.0
252,3.0
253,5.0
254,0.0
255,7.0
256,6.0
257,7.0
258,2.0
259,9.0
260,6.0
261,0.0
262,5.0
263,6.0
264,4.0
265,6.0
266,9.0
267,2.0
268,7.0
269,1.0
270,7.0
271,7.0
272,0.0
273,1.0
274,4.0
275,2.0
276,1.0
277,1.0
278,7.0
279,4.0
280,8.0
281,0.0
282,7.0
283,9.0
284,4.0
285,6.0
286,3.0
287,4.0
288,6.0
289,0.0
290,7.0
291,9.0
292,3.0
293,7.0
294,3.0
295,7.0
296,5.0
297,1.0
298,3.0
299,5.0
300,7.0
301,3.0
302,1.0
303,6.0
304,0.0
305,3.0
306,7.0
307,0.0
308,4.0
309,8.0
310,3.0
311,8.0
312,4.0
